RV Type,Manufacturer,Model Name,Trim,Leveling System,Year,Product,Pack,URL,Product Handle,SKU,Notes,Status,Status
Fifth Wheel,Augusta,Luxe Gold,41GMD,Equalizer Systems,2020,EQ Grand Lux,6 Pack,https://rvsnappad.com/collections/eq-grand/products/eq-grand-lux-6-pack,eq-grand-lux-6-pack,EQLXSP6,,Sale,
Fifth Wheel,Augusta,Luxe Elite,44FL,Equalizer Systems,2020,EQ Grand Lux,6 Pack,https://rvsnappad.com/collections/eq-grand/products/eq-grand-lux-6-pack,eq-grand-lux-6-pack,EQLXSP6,,Sale,
Fifth Wheel,Augusta,Luxe Elite,48FB,Equalizer Systems,2021,EQ Grand Lux,6 Pack,https://rvsnappad.com/collections/eq-grand/products/eq-grand-lux-6-pack,eq-grand-lux-6-pack,EQLXSP6,,Sale,
Class A,Bluebird,Wanderlodge,380M,Bigfoot,2004,BF 10,4 Pack,https://rvsnappad.com/collections/bf/products/bf-10-4-pack,bf-10-4-pack,BF10SP4,,,
Travel Trailer,Casita,Independence Delux,17,,2018,Mini 5.5,Single,https://rvsnappad.com/collections/mini-replacements/products/mini-5-singles,,,,Sale,
Class B,Coach House,Platinum,261XL,HWH,2017,HiWay 8,4 Pack,https://rvsnappad.com/collections/hiway/products/hiway-8-4-pack,hiway-8-4-pack,HI8SP4,,Sale,
Class B,Coach House,Platinum,272XL,HWH,2019,HiWay 8,4 Pack,https://rvsnappad.com/collections/hiway/products/hiway-8-4-pack,hiway-8-4-pack,HI8SP4,,Sale,
Class B,Coach House,Platinum,271XL,HWH,2011,HiWay 8,4 Pack,https://rvsnappad.com/collections/hiway/products/hiway-8-4-pack,hiway-8-4-pack,HI8SP4,,,
Class B,Coach House,Platinum,271XL,HWH,2019,HiWay 8,4 Pack,https://rvsnappad.com/collections/hiway/products/hiway-8-4-pack,hiway-8-4-pack,HI8SP4,,,
Class B,Coach House,Platinum,261XL,HWH,2017,HiWay 8,4 Pack,https://rvsnappad.com/collections/hiway/products/hiway-8-4-pack,hiway-8-4-pack,HI8SP4,,,
Class B,Coach House,Platinum,272XL,HWH,2019,HiWay 8,4 Pack,https://rvsnappad.com/collections/hiway/products/hiway-8-4-pack,hiway-8-4-pack,HI8SP4,,,
Class B,Coach House,Platinum,272XL,HWH,2018,HiWay 8,4 Pack,https://rvsnappad.com/collections/hiway/products/hiway-8-4-pack,hiway-8-4-pack,HI8SP4,,Sale,
Class B,Coach House,Platinum,271FD,HWH,2019,HiWay 8,4 Pack,https://rvsnappad.com/collections/hiway/products/hiway-8-4-pack,hiway-8-4-pack,HI8SP4,,Sale,
Class B,Coach House,Platinum,272XL,HWH,2020,HiWay 8,4 Pack,https://rvsnappad.com/collections/hiway/products/hiway-8-4-pack,hiway-8-4-pack,HI8SP4,,Sale,
Fifth Wheel,Coachmen,Brookstone,355,LCI/Lippert,2014,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,,
Fifth Wheel,Coachmen,Brookstone,310RL,LCI/Lippert,2020,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,,
